r,g,d,w,l,td,tw,tl,l_,e,a,s,t,p
-1,500,10,0,0,477,8,15,464518961.9064331,0.01,1174,68828,2023-04-27T19:46:09.758807,0
-1,510,10,0,0,487,8,15,459497787.9524231,0.01,1266,70094,2023-04-27T19:46:15.087792,0
-1,520,10,0,0,497,8,15,439966180.32455444,0.01,1121,71215,2023-04-27T19:46:20.378776,0
-1,530,10,0,0,507,8,15,441021842.95654297,0.01,1162,72377,2023-04-27T19:46:26.205964,0
-1,540,10,0,0,517,8,15,444622135.1623535,0.01,1479,73856,2023-04-27T19:46:31.596089,0
-20.8,550,8,0,2,525,8,17,425135805.60684204,0.01,1056,74912,2023-04-27T19:46:36.323235,0
-1,560,10,0,0,535,8,17,431544175.14801025,0.01,1290,76202,2023-04-27T19:46:41.200192,0
-1,570,10,0,0,545,8,17,419090471.2677002,0.01,1320,77522,2023-04-27T19:46:45.981444,0
-10.9,580,9,0,1,554,8,18,427852823.73428345,0.01,1401,78923,2023-04-27T19:46:50.749321,0
-1,590,10,0,0,564,8,18,426292767.52471924,0.01,1448,80371,2023-04-27T19:46:55.470963,0
-1,600,10,0,0,574,8,18,419161281.58569336,0.01,1230,81601,2023-04-27T19:47:00.269252,0
10.1,610,9,1,0,583,9,18,406384098.5298157,0.9998491509999914,1354,82955,2023-04-27T19:47:04.250190,0
-1,620,10,0,0,593,9,18,402069022.65548706,0.9331668333333238,1618,84573,2023-04-27T19:47:08.236760,0
-1,630,10,0,0,603,9,18,396046617.0310974,0.8665001666666572,1609,86182,2023-04-27T19:47:12.244911,0
10.1,640,9,1,0,612,10,18,402052063.94195557,0.7998368299999907,1446,87628,2023-04-27T19:47:16.277009,0
10.1,650,9,1,0,621,11,18,390916442.87109375,0.7331714953333242,1556,89184,2023-04-27T19:47:20.519357,0
-1,660,10,0,0,631,11,18,393382139.2059326,0.6665001666666572,1595,90779,2023-04-27T19:47:25.629615,0
10.1,670,9,1,0,640,12,18,393625631.33239746,0.5998361639999906,1504,92283,2023-04-27T19:47:30.428667,0
-1,680,10,0,0,650,12,18,389817252.15911865,0.5331668333333238,1560,93843,2023-04-27T19:47:35.856081,0
-1,690,10,0,0,660,12,18,385360066.89071655,0.46650016666665717,1654,95497,2023-04-27T19:47:40.902349,0
-1,700,10,0,0,670,12,18,377791543.006897,0.3998334999999905,1658,97155,2023-04-27T19:47:45.994013,0
-1,710,10,0,0,680,12,18,375021464.8246765,0.33316683333332386,1471,98626,2023-04-27T19:47:50.974378,0
-1,720,10,0,0,690,12,18,377737503.0517578,0.2665001666666572,1381,80006,2023-04-27T19:47:55.616646,0
-10.9,730,9,0,1,699,12,19,383688967.2279358,0.19983616400000426,1222,81228,2023-04-27T19:48:00.131325,0
-1,740,10,0,0,709,12,19,381534998.41690063,0.13316683333333768,1389,82617,2023-04-27T19:48:04.769652,0
-1,750,10,0,0,719,12,19,377389495.3727722,0.06650016666666408,1361,83978,2023-04-27T19:48:09.474032,0
-9.7,760,7,1,2,726,13,21,377576639.6522522,0.01,1055,85033,2023-04-27T19:48:14.020320,0
