r,g,d,w,l,td,tw,tl,l_,e,a,s,t,p
-1,510,10,0,0,496,4,10,357574305.5343628,0.05,1229,72783,2023-04-27T19:51:35.318935,0
-1,520,10,0,0,506,4,10,353363635.54000854,0.05,1637,74420,2023-04-27T19:51:39.726823,0
-1,530,10,0,0,516,4,10,347179951.66778564,0.05,1637,76057,2023-04-27T19:51:43.439261,0
-1,540,10,0,0,526,4,10,353127412.7960205,0.05,1298,77355,2023-04-27T19:51:47.156163,0
-1,550,10,0,0,536,4,10,346816186.9049072,0.05,1528,78883,2023-04-27T19:51:51.075754,0
-10.9,560,9,0,1,545,4,11,353266797.06573486,0.05,1103,79986,2023-04-27T19:51:55.435236,0
-1,570,10,0,0,555,4,11,345432348.2513428,0.05,1441,81427,2023-04-27T19:51:59.246760,0
-10.9,580,9,0,1,564,4,12,352468211.6508484,0.05,1264,82691,2023-04-27T19:52:02.995329,0
-1,590,10,0,0,574,4,12,347098603.2485962,0.05,1416,84107,2023-04-27T19:52:06.777611,0
-1,600,10,0,0,584,4,12,357161362.1711731,0.05,1148,85255,2023-04-27T19:52:11.291345,0
10.1,610,9,1,0,593,5,12,335479590.89279175,0.9998404929999909,1547,86802,2023-04-27T19:52:14.442257,0
10.1,620,9,1,0,602,6,12,329376585.483551,0.9331718283333241,1644,88446,2023-04-27T19:52:17.547578,0
-10.9,630,9,0,1,611,6,13,330225238.8000488,0.8665038296666574,1571,90017,2023-04-27T19:52:21.010682,0
-1,640,10,0,0,621,6,13,328449056.14852905,0.7998334999999905,1641,91658,2023-04-27T19:52:24.601563,0
-10.9,650,9,0,1,630,6,14,331779415.6074524,0.7331804863333247,1468,93126,2023-04-27T19:52:28.365255,0
-1,660,10,0,0,640,6,14,336355803.0128479,0.6665001666666572,1510,94636,2023-04-27T19:52:31.890000,0
-1,670,10,0,0,650,6,14,336848239.89868164,0.5998334999999905,1500,96136,2023-04-27T19:52:35.341270,0
-1,680,10,0,0,660,6,14,336114079.95224,0.5331668333333238,1472,97608,2023-04-27T19:52:38.697063,0
-1,690,10,0,0,670,6,14,337656731.6055298,0.46650016666665717,1427,99035,2023-04-27T19:52:42.711553,0
-10.9,700,9,0,1,679,6,15,330178470.61157227,0.399841824999991,1501,80429,2023-04-27T19:52:46.381443,0
-10.9,710,9,0,1,688,6,16,347202510.83374023,0.33317915433332457,1267,81696,2023-04-27T19:52:49.972869,0
-1,720,10,0,0,698,6,16,341743073.46343994,0.2665001666666572,1468,83164,2023-04-27T19:52:53.643025,0
-10.9,730,9,0,1,707,6,17,347745673.6564636,0.19984881800000392,1239,84403,2023-04-27T19:52:57.673008,0
-10.9,740,9,0,1,716,6,18,349978609.085083,0.13317449233333747,1282,85685,2023-04-27T19:53:01.810344,0
-1,750,10,0,0,726,6,18,353405883.31222534,0.06650016666666408,1263,86948,2023-04-27T19:53:05.746665,0
-1,760,10,0,0,736,6,18,361044356.8229675,0.01,1154,88102,2023-04-27T19:53:09.667369,0
-1,770,10,0,0,746,6,18,362369949.8176575,0.01,1118,89220,2023-04-27T19:53:13.715055,0
-1,780,10,0,0,756,6,18,364298629.7607422,0.01,1122,90342,2023-04-27T19:53:17.667176,0
-1,790,10,0,0,766,6,18,361138162.61291504,0.01,1224,91566,2023-04-27T19:53:21.462394,0
-1,800,10,0,0,776,6,18,360882353.7826538,0.01,1208,92774,2023-04-27T19:53:25.164345,0
-20.8,810,8,0,2,784,6,20,341583161.35406494,0.01,1450,94224,2023-04-27T19:53:29.226962,0
-1,820,10,0,0,794,6,20,374507863.5215759,0.01,992,95216,2023-04-27T19:53:33.241612,0
10.1,830,9,1,0,803,7,20,344420197.0100403,0.01,1496,96712,2023-04-27T19:53:37.272643,0
-1,840,10,0,0,813,7,20,340826289.6537781,0.01,1552,98264,2023-04-27T19:53:41.177650,0
10.1,850,9,1,0,822,8,20,376585941.31469727,0.01,858,99122,2023-04-27T19:53:45.223802,0
-1,860,10,0,0,832,8,20,370617942.8100586,0.01,1041,80131,2023-04-27T19:53:49.271457,0
-1,870,10,0,0,842,8,20,355307979.58374023,0.01,1286,81417,2023-04-27T19:53:53.081968,0
-1,880,10,0,0,852,8,20,347752678.3943176,0.01,1432,82849,2023-04-27T19:53:56.908100,0
-1,890,10,0,0,862,8,20,347582364.0823364,0.01,1431,84280,2023-04-27T19:54:00.860296,0
-1,900,10,0,0,872,8,20,352326445.5795288,0.01,1309,85589,2023-04-27T19:54:05.383007,0
10.1,910,9,1,0,881,9,20,332619366.645813,0.9998438229999911,1649,87238,2023-04-27T19:54:08.779581,0
-1,920,10,0,0,891,9,20,342989001.2741089,0.9331668333333238,1527,88765,2023-04-27T19:54:12.118724,0
-1,930,10,0,0,901,9,20,336297984.12323,0.8665001666666572,1597,90362,2023-04-27T19:54:15.287358,0
-10.9,940,9,0,1,910,9,21,341050202.8465271,0.799842157999991,1466,91828,2023-04-27T19:54:19.238985,0
-1,950,10,0,0,920,9,21,339907867.9084778,0.7331668333333239,1555,93383,2023-04-27T19:54:22.641721,0
10.1,960,9,1,0,929,10,21,336643416.8815613,0.666513153666658,1448,94831,2023-04-27T19:54:26.045609,0
-1,970,10,0,0,939,10,21,346732254.0283203,0.5998334999999905,1370,96201,2023-04-27T19:54:29.464069,0
-1,980,10,0,0,949,10,21,344076039.7911072,0.5331668333333238,1432,97633,2023-04-27T19:54:33.250139,0
-10.9,990,9,0,1,958,10,22,339000716.2094116,0.4665114886666578,1449,99082,2023-04-27T19:54:37.097647,0
11.3,1000,7,2,1,965,12,23,337163999.08065796,0.3998544789999917,1367,80360,2023-04-27T19:54:40.701952,0
-1,1010,10,0,0,975,12,23,356059677.6008606,0.33316683333332386,1330,81690,2023-04-27T19:54:44.353436,0
-1,1020,10,0,0,985,12,23,335350730.41915894,0.2665001666666572,1710,83400,2023-04-27T19:54:48.304765,0
-10.9,1030,9,0,1,994,12,24,350801603.7940979,0.199845488000004,1314,84714,2023-04-27T19:54:52.413239,0
-1,1040,10,0,0,1004,12,24,353228466.5107727,0.13316683333333768,1334,86048,2023-04-27T19:54:56.208701,0
-10.9,1050,9,0,1,1013,12,25,349078359.60388184,0.06651315366666428,1297,87345,2023-04-27T19:54:59.972842,0
-10.9,1060,9,0,1,1022,12,26,361121187.210083,0,1058,88403,2023-04-27T19:55:03.925389,0
-1,1070,10,0,0,1032,12,26,349929966.9265747,0,1388,89791,2023-04-27T19:55:08.425480,0
-1,1080,10,0,0,1042,12,26,360973064.8994446,0,1170,90961,2023-04-27T19:55:12.438292,0
0.2,1090,8,1,1,1050,13,27,350684955.12008667,0,1297,92258,2023-04-27T19:55:16.311664,0
-1,1100,10,0,0,1060,13,27,369498684.4062805,0,1086,93344,2023-04-27T19:55:20.452100,0
-20.8,1110,8,0,2,1068,13,29,359495615.9591675,0,1247,94591,2023-04-27T19:55:24.990805,0
-1,1120,10,0,0,1078,13,29,361209776.4015198,0,1210,95801,2023-04-27T19:55:28.786341,0
-1,1130,10,0,0,1088,13,29,357065727.7107239,0,1320,97121,2023-04-27T19:55:32.722693,0
-1,1140,10,0,0,1098,13,29,363688075.54244995,0,1159,98280,2023-04-27T19:55:37.125834,0
-1,1150,10,0,0,1108,13,29,343766775.1312256,0,1529,99809,2023-04-27T19:55:41.406610,0
-1,1160,10,0,0,1118,13,29,344431881.90460205,0,1553,81090,2023-04-27T19:55:45.685703,0
-1,1170,10,0,0,1128,13,29,376474995.61309814,0,1003,82093,2023-04-27T19:55:49.477663,0
-1,1180,10,0,0,1138,13,29,367217323.7800598,0,1145,83238,2023-04-27T19:55:53.725342,0
-10.9,1190,9,0,1,1147,13,30,353857083.3206177,0,1248,84486,2023-04-27T19:55:57.740709,0
-1,1200,10,0,0,1157,13,30,367711455.82199097,0,1155,85641,2023-04-27T19:56:01.845986,0
-1,1210,10,0,0,1167,13,30,341823382.3776245,0.9998334999999905,1593,87234,2023-04-27T19:56:04.998467,0
-1,1220,10,0,0,1177,13,30,341066882.61032104,0.9331668333333238,1661,88895,2023-04-27T19:56:08.401850,0
-1,1230,10,0,0,1187,13,30,338701212.40615845,0.8665001666666572,1628,90523,2023-04-27T19:56:12.212386,0
-1,1240,10,0,0,1197,13,30,338224885.4637146,0.7998334999999905,1613,92136,2023-04-27T19:56:15.459816,0
-1,1250,10,0,0,1207,13,30,339015357.49435425,0.7331668333333239,1591,93727,2023-04-27T19:56:18.785428,0
-1,1260,10,0,0,1217,13,30,339287831.7832947,0.6665001666666572,1576,95303,2023-04-27T19:56:22.054893,0
-1,1270,10,0,0,1227,13,30,346793377.3994446,0.5998334999999905,1426,96729,2023-04-27T19:56:25.937070,0
-1,1280,10,0,0,1237,13,30,340838234.42459106,0.5331668333333238,1580,98309,2023-04-27T19:56:29.789467,0
-1,1290,10,0,0,1247,13,30,341624510.2882385,0.46650016666665717,1577,99886,2023-04-27T19:56:33.254157,0
10.1,1300,9,1,0,1256,14,30,347051489.35317993,0.39983749599999074,1413,81040,2023-04-27T19:56:36.908709,0
-1,1310,10,0,0,1266,14,30,353879094.12384033,0.33316683333332386,1393,82433,2023-04-27T19:56:40.814199,0
-1,1320,10,0,0,1276,14,30,360002517.7001953,0.2665001666666572,1270,83703,2023-04-27T19:56:44.859493,0
21.2,1330,8,2,0,1284,16,30,349903528.69033813,0.19985814200000368,1255,84958,2023-04-27T19:56:48.650436,0
-1,1340,10,0,0,1294,16,30,355613346.0998535,0.13316683333333768,1256,86214,2023-04-27T19:56:52.598161,0
-1,1350,10,0,0,1304,16,30,360978093.14727783,0.06650016666666408,1220,87434,2023-04-27T19:56:57.033367,0
10.1,1360,9,1,0,1313,17,30,353957464.6949768,0.05,1296,88730,2023-04-27T19:57:01.441422,0
-10.9,1370,9,0,1,1322,17,31,369852323.5321045,0.05,921,89651,2023-04-27T19:57:05.648900,0
-1,1380,10,0,0,1332,17,31,333649570.94192505,0.05,1754,91405,2023-04-27T19:57:09.460473,0
-1,1390,10,0,0,1342,17,31,351567101.47857666,0.05,1412,92817,2023-04-27T19:57:13.709963,0
-1,1400,10,0,0,1352,17,31,347812404.63256836,0.05,1467,94284,2023-04-27T19:57:17.865604,0
-1,1410,10,0,0,1362,17,31,359676544.6662903,0.05,1239,95523,2023-04-27T19:57:21.662744,0
-1,1420,10,0,0,1372,17,31,364855971.33636475,0.05,1129,96652,2023-04-27T19:57:25.504263,0
-1,1430,10,0,0,1382,17,31,355193204.87976074,0.05,1353,98005,2023-04-27T19:57:29.612972,0
-10.9,1440,9,0,1,1391,17,32,348573462.96310425,0.05,1312,99317,2023-04-27T19:57:33.517833,0
-1,1450,10,0,0,1401,17,32,353389511.10839844,0.05,1327,80516,2023-04-27T19:57:37.424478,0
-1,1460,10,0,0,1411,17,32,352230463.0279541,0.05,1212,81728,2023-04-27T19:57:41.252231,0
-1,1470,10,0,0,1421,17,32,351273989.6774292,0.05,1371,83099,2023-04-27T19:57:45.487207,0
-1,1480,10,0,0,1431,17,32,346244890.68984985,0.05,1393,84492,2023-04-27T19:57:49.944495,0
-10.9,1490,9,0,1,1440,17,33,350523674.4880676,0.05,1260,85752,2023-04-27T19:57:53.831228,0
-1,1500,10,0,0,1450,17,33,356369705.2001953,0.05,1210,86962,2023-04-27T19:57:57.532768,0
10.1,1510,9,1,0,1459,18,33,28014758.825302124,0.9998481519999913,1449,88411,2023-04-27T19:58:00.826135,0
-1,1520,10,0,0,1469,18,33,27961447.685956955,0.9331668333333238,1468,89879,2023-04-27T19:58:04.182133,0
-1,1530,10,0,0,1479,18,33,28402676.88035965,0.8665001666666572,1441,91320,2023-04-27T19:58:07.472453,0
21.2,1540,8,2,0,1487,20,33,28067433.685064316,0.7998451549999912,1581,92901,2023-04-27T19:58:10.860568,0
-1,1550,10,0,0,1497,20,33,27824981.212615967,0.7331668333333239,1495,94396,2023-04-27T19:58:14.043982,0
-1,1560,10,0,0,1507,20,33,27266415.20857811,0.6665001666666572,1524,95920,2023-04-27T19:58:17.556689,0
10.1,1570,9,1,0,1516,21,33,27918868.80993843,0.5998334999999905,1479,97399,2023-04-27T19:58:21.287271,0
21.2,1580,8,2,0,1524,23,33,28790778.070688248,0.533187479333325,1333,98732,2023-04-27T19:58:25.126486,0
-1,1590,10,0,0,1534,23,33,26376471.22144699,0.46650016666665717,1447,80144,2023-04-27T19:58:28.640289,0
-1,1600,10,0,0,1544,23,33,27475838.95921707,0.3998334999999905,1322,81466,2023-04-27T19:58:32.232889,0
-10.9,1610,9,0,1,1553,23,34,27693840.265274048,0.3331674993333239,1367,82833,2023-04-27T19:58:36.089882,0
0.2,1620,8,1,1,1561,24,35,27647137.04586029,0.26651448566665803,1184,84017,2023-04-27T19:58:39.541105,0
-1,1630,10,0,0,1571,24,35,27453599.125146866,0.19983350000000433,1201,85218,2023-04-27T19:58:42.991437,0
-1,1640,10,0,0,1581,24,35,26300616.86038971,0.13316683333333768,1462,86680,2023-04-27T19:58:46.630930,0
-1,1650,10,0,0,1591,24,35,26481820.940971375,0.06650016666666408,1240,87920,2023-04-27T19:58:51.831589,0
-1,1660,10,0,0,1601,24,35,27278734.4455719,0.05,1083,89003,2023-04-27T19:58:57.943628,0
0.2,1670,8,1,1,1609,25,36,26634186.953306198,0.05,1072,90075,2023-04-27T19:59:02.633507,0
